method,legacy_host,legacy_path,target_host,target_path,compatibility_mode,preserve_query,preserve_body,preserve_status_and_error,status
DELETE,teleautomation.online,/candidates/interviews/slots/{cid},business.teleautomation.online,/api/candidates/interviews/slots/{cid},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
PATCH,teleautomation.online,/candidates/interviews/slots/{cid},business.teleautomation.online,/api/candidates/interviews/slots/{cid},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/candidates/interviews/upcoming,business.teleautomation.online,/api/candidates/interviews/upcoming,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/candidates/pending-works,business.teleautomation.online,/api/candidates/pending-works,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/candidates/roster,business.teleautomation.online,/api/candidates/roster,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/candidates/roster.csv,business.teleautomation.online,/api/candidates/roster.csv,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/candidates/stats,business.teleautomation.online,/api/candidates/stats,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
DELETE,teleautomation.online,/candidates/{cid},business.teleautomation.online,/api/candidates/{cid},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/candidates/{cid},business.teleautomation.online,/api/candidates/{cid},TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
PATCH,teleautomation.online,/candidates/{cid},business.teleautomation.online,/api/candidates/{cid},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/candidates/{cid}/interview-attendance,business.teleautomation.online,/api/candidates/{cid}/interview-attendance,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
PATCH,teleautomation.online,/candidates/{cid}/interview-attendee,business.teleautomation.online,/api/candidates/{cid}/interview-attendee,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/candidates/{cid}/proofs,business.teleautomation.online,/api/candidates/{cid}/proofs,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
DELETE,teleautomation.online,/candidates/{cid}/proofs/{pid},business.teleautomation.online,/api/candidates/{cid}/proofs/{pid},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/candidates/{cid}/proofs/{pid},business.teleautomation.online,/api/candidates/{cid}/proofs/{pid},TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
PATCH,teleautomation.online,/candidates/{cid}/proofs/{pid},business.teleautomation.online,/api/candidates/{cid}/proofs/{pid},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/candidates/{cid}/resumes,business.teleautomation.online,/api/candidates/{cid}/resumes,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
DELETE,teleautomation.online,/candidates/{cid}/resumes/{rid},business.teleautomation.online,/api/candidates/{cid}/resumes/{rid},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/candidates/{cid}/resumes/{rid},business.teleautomation.online,/api/candidates/{cid}/resumes/{rid},TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
PATCH,teleautomation.online,/candidates/{cid}/resumes/{rid},business.teleautomation.online,/api/candidates/{cid}/resumes/{rid},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/candidates/{cid}/resumes/{rid}/preview,business.teleautomation.online,/api/candidates/{cid}/resumes/{rid}/preview,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/candidates/{cid}/slot-screenshot,business.teleautomation.online,/api/candidates/{cid}/slot-screenshot,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/company-expenses,business.teleautomation.online,/api/company-expenses,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/company-expenses,business.teleautomation.online,/api/company-expenses,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/company-expenses/total,business.teleautomation.online,/api/company-expenses/total,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
DELETE,teleautomation.online,/company-expenses/{eid},business.teleautomation.online,/api/company-expenses/{eid},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
PATCH,teleautomation.online,/company-expenses/{eid},business.teleautomation.online,/api/company-expenses/{eid},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/data-room,business.teleautomation.online,/api/data-room,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/data-room,business.teleautomation.online,/api/data-room,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/data-room/credentials,business.teleautomation.online,/api/data-room/credentials,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
PATCH,teleautomation.online,/data-room/credentials/admin,business.teleautomation.online,/api/data-room/credentials/admin,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/data-room/credentials/handlers,business.teleautomation.online,/api/data-room/credentials/handlers,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
DELETE,teleautomation.online,/data-room/credentials/handlers/{username},business.teleautomation.online,/api/data-room/credentials/handlers/{username},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
PATCH,teleautomation.online,/data-room/credentials/handlers/{username},business.teleautomation.online,/api/data-room/credentials/handlers/{username},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/data-room/credentials/vault/{section},business.teleautomation.online,/api/data-room/credentials/vault/{section},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
DELETE,teleautomation.online,/data-room/credentials/vault/{section}/{item_id},business.teleautomation.online,/api/data-room/credentials/vault/{section}/{item_id},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
PATCH,teleautomation.online,/data-room/credentials/vault/{section}/{item_id},business.teleautomation.online,/api/data-room/credentials/vault/{section}/{item_id},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/data-room/offer-letters/{item_id}/download,business.teleautomation.online,/api/data-room/offer-letters/{item_id}/download,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/data-room/offer-letters/{item_id}/preview,business.teleautomation.online,/api/data-room/offer-letters/{item_id}/preview,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/data-room/offer-letters/{item_id}/upload,business.teleautomation.online,/api/data-room/offer-letters/{item_id}/upload,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/data-room/stats,business.teleautomation.online,/api/data-room/stats,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
DELETE,teleautomation.online,/data-room/{oid},business.teleautomation.online,/api/data-room/{oid},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/data-room/{oid},business.teleautomation.online,/api/data-room/{oid},TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
PATCH,teleautomation.online,/data-room/{oid},business.teleautomation.online,/api/data-room/{oid},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/handler-expenses,business.teleautomation.online,/api/handler-expenses,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/handler-expenses,business.teleautomation.online,/api/handler-expenses,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/handler-expenses/summary,business.teleautomation.online,/api/handler-expenses/summary,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
DELETE,teleautomation.online,/handler-expenses/{eid},business.teleautomation.online,/api/handler-expenses/{eid},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
PATCH,teleautomation.online,/handler-expenses/{eid},business.teleautomation.online,/api/handler-expenses/{eid},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/handler-expenses/{eid}/proofs,business.teleautomation.online,/api/handler-expenses/{eid}/proofs,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
DELETE,teleautomation.online,/handler-expenses/{eid}/proofs/{pid},business.teleautomation.online,/api/handler-expenses/{eid}/proofs/{pid},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/handler-expenses/{eid}/proofs/{pid},business.teleautomation.online,/api/handler-expenses/{eid}/proofs/{pid},TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/handler-salaries,business.teleautomation.online,/api/handler-salaries,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/handler-salaries,business.teleautomation.online,/api/handler-salaries,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
DELETE,teleautomation.online,/handler-salaries/{reference},business.teleautomation.online,/api/handler-salaries/{reference},REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/health,business.teleautomation.online,/api/health,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/public/slots/book,business.teleautomation.online,/api/public/slots/book,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/public/slots/booked,business.teleautomation.online,/api/public/slots/booked,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/public/slots/candidates,business.teleautomation.online,/api/public/slots/candidates,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/public/slots/extract-invite-ai,business.teleautomation.online,/api/public/slots/extract-invite-ai,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/public/slots/extract-payment-ai,business.teleautomation.online,/api/public/slots/extract-payment-ai,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/public/slots/extract-resume-ai,business.teleautomation.online,/api/public/slots/extract-resume-ai,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/public/slots/parse-screenshot,business.teleautomation.online,/api/public/slots/parse-screenshot,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/public/slots/payment-proof,business.teleautomation.online,/api/public/slots/payment-proof,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/public/slots/session-complete,business.teleautomation.online,/api/public/slots/session-complete,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
DELETE,teleautomation.online,/push/subscribe,business.teleautomation.online,/api/push/subscribe,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
POST,teleautomation.online,/push/subscribe,business.teleautomation.online,/api/push/subscribe,REVERSE_PROXY,YES,YES,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/push/vapid-public-key,business.teleautomation.online,/api/push/vapid-public-key,TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
GET,teleautomation.online,/{full_path:path},business.teleautomation.online,/api/{full_path:path},TEMPORARY_REDIRECT,YES,N/A,YES,PLANNED_UNVERIFIED
