method,legacy_path,adapter,status
GET,/ai/daily-briefing,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/api/mail-monitoring/notifications,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/api/mail-monitoring/notifications/{notification_id}/{action},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/api/mail-monitoring/summary,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/api/offer-verification,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/api/offer-verification/{case_id},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/api/offer-verification/{case_id}/{action},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/api/selection-tracking/stats,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/candidates,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/candidates,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/candidates/bootstrap,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/candidates/interviews/daily,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/candidates/interviews/filter-options,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/candidates/interviews/global,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/candidates/interviews/monitor,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/candidates/interviews/slots,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
DELETE,/candidates/interviews/slots/{cid},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
PATCH,/candidates/interviews/slots/{cid},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/candidates/interviews/upcoming,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/candidates/pending-works,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/candidates/roster,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/candidates/roster.csv,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/candidates/stats,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
DELETE,/candidates/{cid},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/candidates/{cid},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
PATCH,/candidates/{cid},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/candidates/{cid}/interview-attendance,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
PATCH,/candidates/{cid}/interview-attendee,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/candidates/{cid}/proofs,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
DELETE,/candidates/{cid}/proofs/{pid},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/candidates/{cid}/proofs/{pid},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
PATCH,/candidates/{cid}/proofs/{pid},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/candidates/{cid}/resumes,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
DELETE,/candidates/{cid}/resumes/{rid},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/candidates/{cid}/resumes/{rid},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
PATCH,/candidates/{cid}/resumes/{rid},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/candidates/{cid}/resumes/{rid}/preview,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/candidates/{cid}/slot-screenshot,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/company-expenses,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/company-expenses,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/company-expenses/total,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
DELETE,/company-expenses/{eid},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
PATCH,/company-expenses/{eid},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/data-room,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/data-room,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/data-room/credentials,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
PATCH,/data-room/credentials/admin,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/data-room/credentials/handlers,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
DELETE,/data-room/credentials/handlers/{username},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
PATCH,/data-room/credentials/handlers/{username},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/data-room/credentials/vault/{section},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
DELETE,/data-room/credentials/vault/{section}/{item_id},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
PATCH,/data-room/credentials/vault/{section}/{item_id},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/data-room/offer-letters/{item_id}/download,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/data-room/offer-letters/{item_id}/preview,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/data-room/offer-letters/{item_id}/upload,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/data-room/stats,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
DELETE,/data-room/{oid},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/data-room/{oid},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
PATCH,/data-room/{oid},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/handler-expenses,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/handler-expenses,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/handler-expenses/summary,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
DELETE,/handler-expenses/{eid},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
PATCH,/handler-expenses/{eid},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/handler-expenses/{eid}/proofs,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
DELETE,/handler-expenses/{eid}/proofs/{pid},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/handler-expenses/{eid}/proofs/{pid},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/handler-salaries,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/handler-salaries,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
DELETE,/handler-salaries/{reference},Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/public/slots/book,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/public/slots/booked,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
GET,/public/slots/candidates,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/public/slots/extract-invite-ai,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/public/slots/extract-payment-ai,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/public/slots/extract-resume-ai,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/public/slots/parse-screenshot,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/public/slots/payment-proof,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
POST,/public/slots/session-complete,Messaging reverse proxy; browser GET redirect,IMPLEMENTED
